timestamp,frame,gesture
2026-02-25 12:19:17.947268,0,no_face
2026-02-25 12:19:18.319114,5,neutral
2026-02-25 12:19:18.512418,10,neutral
2026-02-25 12:19:18.676606,15,blink
2026-02-25 12:19:18.844425,20,neutral
2026-02-25 12:19:19.013199,25,neutral
2026-02-25 12:19:19.175643,30,blink
2026-02-25 12:19:19.341088,35,neutral
2026-02-25 12:19:19.511139,40,neutral
2026-02-25 12:19:19.675040,45,neutral
2026-02-25 12:19:19.844496,50,neutral
2026-02-25 12:19:20.014579,55,neutral
2026-02-25 12:19:20.209913,60,neutral
2026-02-25 12:19:20.379630,65,neutral
2026-02-25 12:19:20.546660,70,blink
2026-02-25 12:19:20.714499,75,neutral
2026-02-25 12:19:20.911124,80,neutral
2026-02-25 12:19:21.081170,85,neutral
2026-02-25 12:19:21.279341,90,neutral
2026-02-25 12:19:21.449679,95,neutral
2026-02-25 12:19:21.647123,100,neutral
2026-02-25 12:19:21.812671,105,neutral
2026-02-25 12:19:21.982513,110,neutral
2026-02-25 12:19:22.181893,115,neutral
2026-02-25 12:19:22.380058,120,neutral
2026-02-25 12:19:22.599799,125,neutral
2026-02-25 12:19:22.782098,130,neutral
2026-02-25 12:19:22.980528,135,neutral
2026-02-25 12:19:23.183222,140,neutral
2026-02-25 12:19:23.383218,145,neutral
2026-02-25 12:19:23.583074,150,surprise
2026-02-25 12:19:23.783292,155,surprise
2026-02-25 12:19:23.982247,160,surprise
2026-02-25 12:19:24.182528,165,surprise
2026-02-25 12:19:24.382109,170,surprise
2026-02-25 12:19:24.583409,175,surprise
2026-02-25 12:19:24.781728,180,surprise
2026-02-25 12:19:24.983459,185,surprise
2026-02-25 12:19:25.179551,190,surprise
2026-02-25 12:19:25.348580,195,surprise
2026-02-25 12:19:25.551867,200,neutral
2026-02-25 12:19:25.749631,205,neutral
2026-02-25 12:19:25.949799,210,neutral
2026-02-25 12:19:26.151227,215,neutral
2026-02-25 12:19:26.349970,220,neutral
2026-02-25 12:19:26.550525,225,neutral
2026-02-25 12:19:26.751104,230,neutral
2026-02-25 12:19:26.951446,235,neutral
2026-02-25 12:19:27.142402,240,blink
2026-02-25 12:19:27.311242,245,blink
2026-02-25 12:19:27.479376,250,blink
2026-02-25 12:19:27.644480,255,neutral
2026-02-25 12:19:27.811552,260,blink
2026-02-25 12:19:27.977530,265,neutral
2026-02-25 12:19:28.149937,270,neutral
2026-02-25 12:19:28.343345,275,neutral
2026-02-25 12:19:28.512556,280,neutral
2026-02-25 12:19:28.677719,285,neutral
2026-02-25 12:19:28.844954,290,neutral
2026-02-25 12:19:29.017296,295,neutral
2026-02-25 12:19:29.184099,300,neutral
2026-02-25 12:19:29.349397,305,nod
2026-02-25 12:19:29.518352,310,neutral
2026-02-25 12:19:29.716748,315,neutral
2026-02-25 12:19:29.877773,320,neutral
2026-02-25 12:19:30.050160,325,neutral
2026-02-25 12:19:30.235347,330,surprise
2026-02-25 12:19:30.418413,335,surprise
2026-02-25 12:19:30.618888,340,surprise
2026-02-25 12:19:30.820033,345,blink
2026-02-25 12:19:31.021862,350,nod
2026-02-25 12:19:31.224439,355,nod
2026-02-25 12:19:31.424400,360,nod
2026-02-25 12:19:31.619201,365,nod
2026-02-25 12:19:31.824104,370,neutral
2026-02-25 12:19:32.026193,375,nod
2026-02-25 12:19:32.218362,380,no_face
2026-02-25 12:19:32.427468,385,nod
2026-02-25 12:19:32.622786,390,neutral
2026-02-25 12:19:32.822500,395,neutral
2026-02-25 12:19:33.027401,400,neutral
2026-02-25 12:19:33.222821,405,neutral
2026-02-25 12:19:33.426600,410,neutral
2026-02-25 12:19:33.626014,415,neutral
2026-02-25 12:19:33.820350,420,nod
2026-02-25 12:19:34.026117,425,nod
2026-02-25 12:19:34.225125,430,neutral
2026-02-25 12:19:34.425950,435,nod
2026-02-25 12:19:34.626948,440,neutral
2026-02-25 12:19:34.858806,445,neutral
2026-02-25 12:19:35.058778,450,neutral
2026-02-25 12:19:35.260397,455,neutral
2026-02-25 12:19:35.459549,460,neutral
2026-02-25 12:19:35.661078,465,neutral
2026-02-25 12:19:35.858662,470,neutral
2026-02-25 12:19:36.062607,475,blink
2026-02-25 12:19:36.261160,480,neutral
2026-02-25 12:19:36.464350,485,neutral
2026-02-25 12:19:36.661679,490,neutral
2026-02-25 12:19:36.858822,495,neutral
2026-02-25 12:19:37.063545,500,neutral
2026-02-25 12:19:37.262117,505,neutral
2026-02-25 12:19:37.461568,510,neutral
2026-02-25 12:19:37.662445,515,neutral
2026-02-25 12:19:37.864601,520,nod
2026-02-25 12:19:38.063778,525,nod
2026-02-25 12:19:38.262100,530,neutral
2026-02-25 12:19:38.459831,535,neutral
2026-02-25 12:19:38.679330,540,neutral
2026-02-25 12:19:38.856086,545,neutral
2026-02-25 12:19:39.058297,550,neutral
2026-02-25 12:19:39.261901,555,neutral
2026-02-25 12:19:39.465566,560,neutral
2026-02-25 12:19:39.696226,565,neutral
2026-02-25 12:19:39.895504,570,nod
2026-02-25 12:19:40.093306,575,nod
2026-02-25 12:19:40.295406,580,neutral
2026-02-25 12:19:40.495707,585,neutral
2026-02-25 12:19:40.693991,590,neutral
2026-02-25 12:19:40.890625,595,neutral
2026-02-25 12:19:41.092775,600,neutral
2026-02-25 12:19:41.295356,605,neutral
2026-02-25 12:19:41.490274,610,neutral
2026-02-25 12:19:41.692544,615,neutral
2026-02-25 12:19:41.894152,620,neutral
2026-02-25 12:19:42.123227,625,neutral
2026-02-25 12:19:42.325702,630,neutral
2026-02-25 12:19:42.527577,635,blink
2026-02-25 12:19:42.727603,640,neutral
2026-02-25 12:19:42.928686,645,neutral
2026-02-25 12:19:43.127698,650,neutral
